"establishment_address","row_id","establishment_id","inspection_id","establishment_name","establishmenttype","establishment_status","minimum_inspections_peryear","infraction_details","inspection_date","severity","action","court_outcome","amount_fined","full_address","lat","lon"
"1 ADELAIDE ST E",51425,"10384957","102850233","TOUCH","Food Court Vendor","Pass",3,"",2012-10-31,"","","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",51421,"10384957","102576925","TOUCH","Food Court Vendor","Pass",3,"",2011-08-15,"","","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",51413,"10384957","102500668","TOUCH","Food Court Vendor","Conditional Pass",3,"FAIL TO PROVIDE SOAP OR DETERGENT IN FOOD PREPARATION AREA O. REG  562/90 SEC. 20(1)(C)",2011-04-15,"S - Significant","Corrected During Inspection","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",51415,"10384957","102500668","TOUCH","Food Court Vendor","Conditional Pass",3,"Operator fail to properly wash multi-use utensils",2011-04-15,"S - Significant","Notice to Comply","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",51423,"10384957","102698561","TOUCH","Food Court Vendor","Pass",3,"",2012-02-21,"","","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",51417,"10384957","102500668","TOUCH","Food Court Vendor","Conditional Pass",3,"Operator fail to provide easily readable thermometer(s)",2011-04-15,"S - Significant","Notice to Comply","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",18849,"9337616","102571454","STARBUCKS","Food Take Out","Pass",1,"",2011-08-09,"","","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",51422,"10384957","102658544","TOUCH","Food Court Vendor","Pass",3,"",2011-12-23,"","","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",51418,"10384957","102500668","TOUCH","Food Court Vendor","Conditional Pass",3,"Operator fail to use proper procedure(s) to ensure food safety",2011-04-15,"S - Significant","Ticket","Conviction - Fined",60,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
"1 ADELAIDE ST E",53161,"10390332","102445873","INTERNATIONAL NEWS","Food Store (Convenience / Variety)","Pass",1,"",2011-01-26,"","","",NA,"1 Adelaide Street East, Toronto, ON M5C 1J4, Canada",43.6505593,-79.3776407
